"","Date","submission_count","log_sub_count"
"334",2018-03-05,28,3.3322045101752
"335",2018-03-06,21,3.04452243772342
"336",2018-03-07,20,2.99573227355399
"337",2018-03-08,18,2.89037175789616
"338",2018-03-09,11,2.39789527279837
"339",2018-03-10,22,3.09104245335832
"340",2018-03-11,21,3.04452243772342
"341",2018-03-12,34,3.52636052461616
"342",2018-03-13,21,3.04452243772342
"343",2018-03-14,22,3.09104245335832
"344",2018-03-15,28,3.3322045101752
"345",2018-03-16,14,2.63905732961526
"346",2018-03-17,19,2.94443897916644
"347",2018-03-18,17,2.83321334405622
"348",2018-03-19,31,3.43398720448515
"349",2018-03-20,36,3.58351893845611
"350",2018-03-21,14,2.63905732961526
"351",2018-03-22,21,3.04452243772342
"352",2018-03-23,18,2.89037175789616
"353",2018-03-24,20,2.99573227355399
"354",2018-03-25,25,3.2188758248682
"355",2018-03-26,22,3.09104245335832
"356",2018-03-27,22,3.09104245335832
"357",2018-03-28,23,3.13549421592915
"358",2018-03-29,28,3.3322045101752
"359",2018-03-30,15,2.70805020110221
"360",2018-03-31,28,3.3322045101752
"361",2018-04-01,23,3.13549421592915
"362",2018-04-02,23,3.13549421592915
"363",2018-04-03,28,3.3322045101752
"364",2018-04-04,22,3.09104245335832
"365",2018-04-05,18,2.89037175789616
"366",2018-04-06,21,3.04452243772342
"367",2018-04-07,17,2.83321334405622
"368",2018-04-08,21,3.04452243772342
"369",2018-04-09,33,3.49650756146648
"370",2018-04-10,24,3.17805383034795
"371",2018-04-11,24,3.17805383034795
"372",2018-04-12,25,3.2188758248682
"373",2018-04-13,17,2.83321334405622
"374",2018-04-14,12,2.484906649788
"375",2018-04-15,20,2.99573227355399
"376",2018-04-16,26,3.25809653802148
"377",2018-04-17,22,3.09104245335832
"378",2018-04-18,19,2.94443897916644
"379",2018-04-19,15,2.70805020110221
"380",2018-04-20,13,2.56494935746154
"381",2018-04-21,14,2.63905732961526
"382",2018-04-22,27,3.29583686600433
"383",2018-04-23,38,3.63758615972639
"384",2018-04-24,26,3.25809653802148
"385",2018-04-25,30,3.40119738166216
"386",2018-04-26,24,3.17805383034795
